gangguan,solusi
Internet lemot,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
File ilang (kedut),"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
File ilang (kedut),"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
File ilang (kedut),"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
File ilang (kedut),"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Koneksi putus-putus (lemot),"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Printer nge-jam,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Outlook nge-lambat,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Koneksi putus-putus (lemot),"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Update ngegagal,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Outlook nge-lambat,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
PC nge-lag,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
System nge-err,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
File ilang (kedut),"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Email gak masuk,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Absen kedut,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
VPN nge-err,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Software ngadat,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Aplikasi ngehang,"Reset konfigurasi VPN, kalo masih error kita remote."
VPN nge-err,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Laptop kedut-kedut,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
WiFi susah connect,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
VPN nge-err,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
WiFi susah connect,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Aplikasi ngehang,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Laptop kedut-kedut,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Email gak masuk,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Outlook nge-lambat,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Koneksi putus-putus (lemot),"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
WiFi susah connect,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
PC nge-lag,"Reset konfigurasi VPN, kalo masih error kita remote."
VPN nge-err,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Software ngadat,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Internet lemot,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Koneksi putus-putus (lemot),"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Koneksi putus-putus (lemot),"Reset konfigurasi VPN, kalo masih error kita remote."
VPN nge-err,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Outlook nge-lambat,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Koneksi putus-putus (lemot),"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Software ngadat,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Update ngegagal,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Login ga kenal,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Login ga kenal,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Password ga nge-respond,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Email gak masuk,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
VPN nge-err,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Software ngadat,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Notifikasi ga muncul,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
VPN nge-err,"Reset konfigurasi VPN, kalo masih error kita remote."
PC nge-lag,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
PC nge-lag,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
WiFi susah connect,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Login ga kenal,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
System nge-err,"Reset konfigurasi VPN, kalo masih error kita remote."
Login ga kenal,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Absen kedut,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
File ilang (kedut),"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
WiFi susah connect,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
VPN nge-err,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
PC nge-lag,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Password ga nge-respond,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Outlook nge-lambat,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Login ga kenal,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Software ngadat,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Software ngadat,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Internet lemot,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
System nge-err,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Password ga nge-respond,"Reset konfigurasi VPN, kalo masih error kita remote."
Email gak masuk,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Email gak masuk,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Absen kedut,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Layar kedut,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
WiFi susah connect,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Internet lemot,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Aplikasi ngehang,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Aplikasi ngehang,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Password ga nge-respond,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Koneksi putus-putus (lemot),"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Software ngadat,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Email gak masuk,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Notifikasi ga muncul,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Update ngegagal,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Koneksi putus-putus (lemot),"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
